DATAFLOW,LAST UPDATE,freq,unit,vehicle,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TOT,FI,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TOT,HR,2022,12,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TOT,IS,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TOT,IT,2022,7,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TOT,PT,2022,4,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TOT,SI,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TRO,BG,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TRO,DE,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TRO,EE,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TRO,EU27_2020,2022,0,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TRO,HU,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TRO,NO,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,BUS_TRO,SK,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,AT,2022,180,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,BE,2022,215,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,BG,2022,323,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,CH,2022,87,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,CY,2022,11,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,CZ,2022,278,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,DE,2022,1192,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,DK,2022,68,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,EE,2022,24,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,ES,2022,681,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,EU27_2020,2022,8837,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,FI,2022,120,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,FR,2022,1565,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,HR,2022,143,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,HU,2022,273,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,IS,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,IT,2022,1375,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,LT,2022,59,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,LU,2022,23,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,NL,2022,225,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,NO,2022,58,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,PL,2022,913,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,PT,2022,211,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,RO,2022,698,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,SE,2022,107,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,SI,2022,21,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,CAR,SK,2022,132,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,AT,2022,24,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,BE,2022,2,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,CH,2022,23,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,DE,2022,208,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,DK,2022,9,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,EU27_2020,2022,385,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,FR,2022,43,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,IS,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,IT,2022,20,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,LT,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,LU,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,NL,2022,77,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,EPAC,SI,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,BE,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,DE,2022,10,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,DK,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,EE,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,ES,2022,8,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,EU27_2020,2022,76,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,FR,2022,35,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,IS,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,IT,2022,16,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,LT,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,LU,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,PL,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCMOB,SI,2022,2,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCO,BE,2022,2,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCO,DE,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCO,EU27_2020,2022,3,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCO,FR,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCO,NO,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MCO,SK,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,AT,2022,8,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,BE,2022,17,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,BG,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,CH,2022,6,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,CY,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,CZ,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,DE,2022,57,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,DK,2022,9,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,EE,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,ES,2022,36,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,EU27_2020,2022,523,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,FI,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,FR,2022,124,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,HR,2022,8,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,HU,2022,12,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,IS,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,IT,2022,70,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,LT,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,LU,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,NL,2022,39,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,NO,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,PL,2022,53,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,PT,2022,35,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,RO,2022,24,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,SE,2022,11,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,SI,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOP,SK,2022,8,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_2WH,BG,2022,38,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_2WH,EU27_2020,2022,900,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_2WH,FI,2022,21,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_2WH,HR,2022,48,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_2WH,IT,2022,781,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_2WH,SI,2022,12,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,AT,2022,45,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,BE,2022,51,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,BG,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,CH,2022,46,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,DE,2022,424,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,ES,2022,360,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,EU27_2020,2022,1644,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,FR,2022,482,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,IS,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,LU,2022,6,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,NO,2022,16,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,PL,2022,146,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,PT,2022,105,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_GT125,SE,2022,25,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,AT,2022,10,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,BE,2022,15,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,BG,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,CH,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,DE,2022,68,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,ES,2022,41,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,EU27_2020,2022,298,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,FR,2022,112,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,IS,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,LU,2022,2,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,NO,2022,5,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,PL,2022,12,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,PT,2022,35,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_LE125,SE,2022,2,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,BE,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,CY,2022,9,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,CZ,2022,71,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,DK,2022,16,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,EE,2022,2,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,EU27_2020,2022,283,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,HU,2022,45,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,LT,2022,13,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,NL,2022,44,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,RO,2022,61,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,SE,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MOTO_NSP,SK,2022,19,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,AT,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,BE,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,BG,2022,4,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,CH,2022,9,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,CY,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,CZ,2022,4,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,DE,2022,18,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,DK,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,EE,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,ES,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,EU27_2020,2022,156,p
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,FI,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,FR,2022,34,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,HR,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,HU,2022,3,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,IS,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,IT,2022,13,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,LT,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,LU,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,NL,2022,27,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,NO,2022,10,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,PL,2022,7,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,PT,2022,5,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,RO,2022,22,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,SE,2022,8,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,SI,2022,1,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,MTZ_OTH,SK,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,NMTZ_OTH,AT,2022,6,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,NMTZ_OTH,BE,2022,0,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,NMTZ_OTH,BG,2022,11,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,NMTZ_OTH,CH,2022,4,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,NMTZ_OTH,CZ,2022,2,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,NMTZ_OTH,DE,2022,4,
ESTAT:TRAN_SF_ROADVE(1.0),12/4/2024 11:00,A,NR,NMTZ_OTH,EE,2022,0,
