location,year,deaths,LEKTIKO
FISHING MUNICIPALITY,2016,0,ΔΗΜΟΣ ΨΑΡΩΝ
MUNICIPALITY OF ANGISTRIOU,2016,0,ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ
MUNICIPALITY OF OINOUSSE,2016,0,ΔΗΜΟΣ ΟΙΝΟΥΣΣΩΝ
MUNICIPALITY OF KIMOLO,2016,0,ΔΗΜΟΣ ΚΙΜΩΛΟΥ
AGIOS OROS (Municipality),2016,0,ΑΓΙΟ ΟΡΟΣ (Αυτοδιοίκητο)
MUNICIPALITY OF POROS,2018,0,ΔΗΜΟΣ ΠΟΡΟΥ
MEGISTIS MUNICIPALITY,2018,0,ΔΗΜΟΣ ΜΕΓΙΣΤΗΣ
MUNICIPALITY OF AGIOS EFSTRATIO,2018,0,ΔΗΜΟΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ
MUNICIPALITY OF ELAFONIS,2018,0,ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ
ANOGEIA MUNICIPALITY,2018,0,ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ
MUNICIPALITY OF MEGANISIOU,2018,0,ΔΗΜΟΣ ΜΕΓΑΝΗΣΙΟΥ
MUNICIPALITY OF KYTHIRA,2018,0,ΔΗΜΟΣ ΚΥΘΗΡΩΝ
MUNICIPALITY OF AGATHONISIOU,2018,0,ΔΗΜΟΣ ΑΓΑΘΟΝΗΣΙΟΥ
HYDRA MUNICIPALITY,2018,0,ΔΗΜΟΣ ΎΔΡΑΣ
MUNICIPALITY OF PRESPA,2018,0,ΔΗΜΟΣ ΠΡΕΣΠΩΝ
FISHING MUNICIPALITY,2018,0,ΔΗΜΟΣ ΨΑΡΩΝ
MUNICIPALITY OF ANGISTRIOU,2018,0,ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ
MUNICIPALITY OF OINOUSSE,2018,0,ΔΗΜΟΣ ΟΙΝΟΥΣΣΩΝ
MUNICIPALITY OF KIMOLO,2018,0,ΔΗΜΟΣ ΚΙΜΩΛΟΥ
AGIOS OROS (Municipality),2018,0,ΑΓΙΟ ΟΡΟΣ (Αυτοδιοίκητο)
KOMOTINI MUNICIPALITY,2016,5,ΔΗΜΟΣ ΚΟΜΟΤΗΝΗΣ
ARRIANA MUNICIPALITY,2016,1,ΔΗΜΟΣ ΑΡΡΙΑΝΩΝ
MUNICIPALITY OF IASMO,2016,2,ΔΗΜΟΣ ΙΑΣΜΟΥ
MUNICIPALITY OF MARONEIA - SAPON,2016,3,ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ
MUNICIPALITY OF DRAMA,2016,3,ΔΗΜΟΣ ΔΡΑΜΑΣ
DOXATO MUNICIPALITY,2016,0,ΔΗΜΟΣ ΔΟΞΑΤΟΥ
MUNICIPALITY OF KATO NEUROKOPIOU,2016,1,ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ
PROSOTSANI MUNICIPALITY,2016,1,ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ
MUNICIPALITY OF ALEXANDROUPOLI,2016,5,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ
MUNICIPALITY OF DIDYMOTEICHO,2016,2,ΔΗΜΟΣ ΔΙΔΥΜΟΤΕΙΧΟΥ
MUNICIPALITY OF ORESTIADAS,2016,5,ΔΗΜΟΣ ΟΡΕΣΤΙΑΔΑΣ
MUNICIPALITY OF SAMOTRAKI,2016,0,ΔΗΜΟΣ ΣΑΜΟΘΡΑΚΗΣ
MUNICIPALITY OF SOUFLIOU,2016,1,ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ
MUNICIPALITY OF THASOS,2016,2,ΔΗΜΟΣ ΘΑΣΟΥ
MUNICIPALITY OF KAVALAS,2016,4,ΔΗΜΟΣ ΚΑΒΑΛΑΣ
MUNICIPALITY OF NESTO,2016,1,ΔΗΜΟΣ ΝΕΣΤΟΥ
PANGAI MUNICIPALITY,2016,4,ΔΗΜΟΣ ΠΑΓΓΑΙΟΥ
MUNICIPALITY OF XANTHI,2016,1,ΔΗΜΟΣ ΞΑΝΘΗΣ
MUNICIPALITY OF ABDIRON,2016,3,ΔΗΜΟΣ ΑΒΔΗΡΩΝ
MUNICIPALITY OF MYKIS,2016,1,ΔΗΜΟΣ ΜΥΚΗΣ
MUNICIPALITY OF TOPIRO,2016,4,ΔΗΜΟΣ ΤΟΠΕΙΡΟΥ
MUNICIPALITY OF THESSALONIKI,2016,9,ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ
MUNICIPALITY OF AMBELOKIPON - MENEMENE,2016,1,ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝ
MUNICIPALITY OF VOLBI,2016,7,ΔΗΜΟΣ ΒΟΛΒΗΣ
DELTA MUNICIPALITY,2016,7,ΔΗΜΟΣ ΔΕΛΤΑ
MUNICIPALITY OF THERMAIKOU,2016,1,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ
MUNICIPALITY OF THERMI,2016,8,ΔΗΜΟΣ ΘΕΡΜΗΣ
MUNICIPALITY OF KALAMARIA,2016,0,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ
MUNICIPALITY OF KORDELIOU - EVOSMOS,2016,1,ΔΗΜΟΣ ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ
LAGKADA MUNICIPALITY,2016,4,ΔΗΜΟΣ ΛΑΓΚΑΔΑ
MUNICIPALITY OF NAPOLI - SYKEON,2016,1,ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ
MUNICIPALITY OF PAVLO MELA,2016,2,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ
MUNICIPALITY OF PYLIAS - HORTIATI,2016,2,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ
MUNICIPALITY OF CHALKEDON,2016,6,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ
OREIOKASTR MUNICIPALITY,2016,2,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ
MUNICIPALITY OF VERIA,2016,8,ΔΗΜΟΣ ΒΕΡΟΙΑΣ
MUNICIPALITY OF ALEXANDRIA,2016,2,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ
NAOUSA MUNICIPALITY,2016,3,ΔΗΜΟΣ ΝΑΟΥΣΑΣ
MUNICIPALITY OF KILKIS,2016,2,ΔΗΜΟΣ ΚΙΛΚΙΣ
PAIONIA MUNICIPALITY,2016,6,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ
MUNICIPALITY OF EDESSA,2016,4,ΔΗΜΟΣ ΕΔΕΣΣΑΣ
ALMOPIA MUNICIPALITY,2016,3,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ
MUNICIPALITY OF PELLAS,2016,10,ΔΗΜΟΣ ΠΕΛΛΑΣ
SKYDRA MUNICIPALITY,2016,2,ΔΗΜΟΣ ΣΚΥΔΡΑΣ
KATERINIS MUNICIPALITY,2016,4,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ
MUNICIPALITY OF DIOU - OLYMPOU,2016,3,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ
MUNICIPALITY OF PYDNAS - KOLINDROU,2016,2,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ
MUNICIPALITY OF SERRON,2016,10,ΔΗΜΟΣ ΣΕΡΡΩΝ
MUNICIPALITY OF AMPHIPOLIS,2016,3,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ
MUNICIPALITY OF VISALTIA,2016,3,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ
EMMANUEL PAPPA MUNICIPALITY,2016,1,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ
HERACLEIA MUNICIPALITY,2016,2,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ
MUNICIPALITY OF NEAS ZIKNIS,2016,3,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ
MUNICIPALITY OF SINDIKI,2016,4,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ
POLYGYRO MUNICIPALITY,2016,2,ΔΗΜΟΣ ΠΟΛΥΓΥΡΟΥ
ARISTOTELI MUNICIPALITY,2016,4,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ
MUNICIPALITY OF KASSANDRAS,2016,3,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ
MUNICIPALITY OF NEAS PROPONTIDAS,2016,6,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ
SITHONIA MUNICIPALITY,2016,3,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ
MUNICIPALITY OF KOZANI,2016,4,ΔΗΜΟΣ ΚΟΖΑΝΗΣ
MUNICIPALITY OF VOIO,2016,0,ΔΗΜΟΣ ΒΟΪΟΥ
MUNICIPALITY OF EORDIA,2016,1,ΔΗΜΟΣ ΕΟΡΔΑΙΑΣ
MUNICIPALITY OF SERBIA - VELVENTOU,2016,1,ΔΗΜΟΣ ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ
MUNICIPALITY OF GREVEN,2016,3,ΔΗΜΟΣ ΓΡΕΒΕΝΩΝ
MUNICIPALITY OF DESKATIS,2016,1,ΔΗΜΟΣ ΔΕΣΚΑΤΗΣ
MUNICIPALITY OF KASTORIA,2016,2,ΔΗΜΟΣ ΚΑΣΤΟΡΙΑΣ
MUNICIPALITY OF ORESTIDOS,2016,0,ΔΗΜΟΣ ΟΡΕΣΤΙΔΟΣ
MUNICIPALITY OF FLORINA,2016,3,ΔΗΜΟΣ ΦΛΩΡΙΝΑΣ
AMYNTAI MUNICIPALITY,2016,0,ΔΗΜΟΣ ΑΜΥΝΤΑΙΟΥ
MUNICIPALITY OF IOANNITON,2016,6,ΔΗΜΟΣ ΙΩΑΝΝΙΤΩΝ
DODONIS MUNICIPALITY,2016,4,ΔΗΜΟΣ ΔΩΔΩΝΗΣ
MUNICIPALITY OF ZITSAS,2016,1,ΔΗΜΟΣ ΖΙΤΣΑΣ
MUNICIPALITY OF KONICSA,2016,2,ΔΗΜΟΣ ΚΟΝΙΤΣΑΣ
METSOVO MUNICIPALITY,2016,0,ΔΗΜΟΣ ΜΕΤΣΟΒΟΥ
MUNICIPALITY OF POGONI,2016,0,ΔΗΜΟΣ ΠΩΓΩΝΙΟΥ
MUNICIPALITY OF ARTAIA,2016,5,ΔΗΜΟΣ ΑΡΤΑΙΩΝ
MUNICIPALITY OF CENTRAL ZOUMERKI,2016,0,ΔΗΜΟΣ ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ
MUNICIPALITY OF NIKOLAOS SKOUFAS,2016,3,ΔΗΜΟΣ ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ
MUNICIPALITY OF IGOUMENITSA,2016,3,ΔΗΜΟΣ ΗΓΟΥΜΕΝΙΤΣΑΣ
SOULIOU MUNICIPALITY,2016,0,ΔΗΜΟΣ ΣΟΥΛΙΟΥ
MUNICIPALITY OF FILIATON,2016,1,ΔΗΜΟΣ ΦΙΛΙΑΤΩΝ
MUNICIPALITY OF PREVEZA,2016,2,ΔΗΜΟΣ ΠΡΕΒΕΖΑΣ
MUNICIPALITY OF ZIRO,2016,6,ΔΗΜΟΣ ΖΗΡΟΥ
MUNICIPALITY OF PARGAS,2016,2,ΔΗΜΟΣ ΠΑΡΓΑΣ
MUNICIPALITY OF LARISAI,2016,6,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ
MUNICIPALITY OF AGIA,2016,0,ΔΗΜΟΣ ΑΓΙΑΣ
ELASSONAS MUNICIPALITY,2016,1,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ
KILELER MUNICIPALITY,2016,3,ΔΗΜΟΣ ΚΙΛΕΛΕΡ
MUNICIPALITY OF TEMPO,2016,1,ΔΗΜΟΣ ΤΕΜΠΩΝ
MUNICIPALITY OF TYRNAVO,2016,2,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ
FARSALA MUNICIPALITY,2016,1,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ
MUNICIPALITY OF KARDITSA,2016,5,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ
MUNICIPALITY OF ARGITHEAS,2016,0,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ
MOUZAKI MUNICIPALITY,2016,1,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ
PALAMA MUNICIPALITY,2016,1,ΔΗΜΟΣ ΠΑΛΑΜΑ
MUNICIPALITY OF SOFADO,2016,2,ΔΗΜΟΣ ΣΟΦΑΔΩΝ
MUNICIPALITY OF VOLOS,2016,6,ΔΗΜΟΣ ΒΟΛΟΥ
ALMYRO MUNICIPALITY,2016,3,ΔΗΜΟΣ ΑΛΜΥΡΟΥ
MUNICIPALITY OF SOUTH PELIA,2016,1,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ
RIGA FERAI MUNICIPALITY,2016,2,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ
MUNICIPALITY OF SKIATHO,2016,0,ΔΗΜΟΣ ΣΚΙΑΘΟΥ
ALONNIS MUNICIPALITY,2016,0,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ
SKOPELO MUNICIPALITY,2016,0,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ
MUNICIPALITY OF TRIKKAIA,2016,2,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ
MUNICIPALITY OF KALAMPAKAS,2016,3,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ
GATE MUNICIPALITY,2016,0,ΔΗΜΟΣ ΠΥΛΗΣ
FARCADONAS MUNICIPALITY,2016,1,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ
MUNICIPALITY OF LAMIE,2016,3,ΔΗΜΟΣ ΛΑΜΙΕΩΝ
MUNICIPALITY OF AMFIKLIA - ELATIA,2016,1,ΔΗΜΟΣ ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ
DOMOKOU MUNICIPALITY,2016,0,ΔΗΜΟΣ ΔΟΜΟΚΟΥ
LOKRON MUNICIPALITY,2016,7,ΔΗΜΟΣ ΛΟΚΡΩΝ
MUNICIPALITY OF MAKRAKOMI,2016,2,ΔΗΜΟΣ ΜΑΚΡΑΚΩΜΗΣ
MUNICIPALITY OF MOLOS - AGIOS KONSTANTINOUS,2016,1,ΔΗΜΟΣ ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝ
MUNICIPALITY OF STYLIDOS,2016,3,ΔΗΜΟΣ ΣΤΥΛΙΔΟΣ
MUNICIPALITY OF LEVADEA,2016,2,ΔΗΜΟΣ ΛΕΒΑΔΕΩΝ
MUNICIPALITY OF ALIARTOU,2016,2,ΔΗΜΟΣ ΑΛΙΑΡΤΟΥ
MUNICIPALITY OF DISTOMOS - ARACHOVAS - ANTIKYRAS,2016,0,ΔΗΜΟΣ ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ -
MUNICIPALITY OF THEBES,2016,6,ΔΗΜΟΣ ΘΗΒΑΙΩΝ
MUNICIPALITY OF ORHOMENOU,2016,2,ΔΗΜΟΣ ΟΡΧΟΜΕΝΟΥ
TANAGRA MUNICIPALITY,2016,2,ΔΗΜΟΣ ΤΑΝΑΓΡΑΣ
MUNICIPALITY OF CHALKIS,2016,10,ΔΗΜΟΣ ΧΑΛΚΙΔΕΩΝ
MUNICIPALITY OF DIRPHIA - MESSAPIA,2016,1,ΔΗΜΟΣ ΔΙΡΦΥΩΝ - ΜΕΣΣΑΠΙΩΝ
ERETRIA MUNICIPALITY,2016,2,ΔΗΜΟΣ ΕΡΕΤΡΙΑΣ
MUNICIPALITY OF ISTIAIA - EDIPSO,2016,2,ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ - ΑΙΔΗΨΟΥ
KARYSTO MUNICIPALITY,2016,2,ΔΗΜΟΣ ΚΑΡΥΣΤΟΥ
MUNICIPALITY OF KYMI - ALIVERIOU,2016,3,ΔΗΜΟΣ ΚΥΜΗΣ - ΑΛΙΒΕΡΙΟΥ
MUNICIPALITY OF MANTOUDIOU - LIMNIS - AGIAS ANNAS,2016,5,ΔΗΜΟΣ ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ -
MUNICIPALITY OF SKYRO,2016,0,ΔΗΜΟΣ ΣΚΥΡΟΥ
MUNICIPALITY OF KARPENESIOU,2016,0,ΔΗΜΟΣ ΚΑΡΠΕΝΗΣΙΟΥ
MUNICIPALITY OF AGRAFA,2016,0,ΔΗΜΟΣ ΑΓΡΑΦΩΝ
MUNICIPALITY OF DELPHI,2016,4,ΔΗΜΟΣ ΔΕΛΦΩΝ
MUNICIPALITY OF DORIDOS,2016,2,ΔΗΜΟΣ ΔΩΡΙΔΟΣ
CORFU MUNICIPALITY,2016,4,ΔΗΜΟΣ ΚΕΡΚΥΡΑΣ
MUNICIPALITY OF ZAKYNTHUS,2016,5,ΔΗΜΟΣ ΖΑΚΥΝΘΟΥ
MUNICIPALITY OF ITHACA,2016,1,ΔΗΜΟΣ ΙΘΑΚΗΣ
MUNICIPALITY OF KEFALONIA,2016,2,ΔΗΜΟΣ ΚΕΦΑΛΟΝΙΑΣ
MUNICIPALITY OF LEFKADA,2016,6,ΔΗΜΟΣ ΛΕΥΚΑΔΑΣ
MUNICIPALITY OF PATREA,2016,12,ΔΗΜΟΣ ΠΑΤΡΕΩΝ
MUNICIPALITY OF AEGIALIA,2016,7,ΔΗΜΟΣ ΑΙΓΙΑΛΕΙΑΣ
MUNICIPALITY OF WEST ACHAIA,2016,5,ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ
ERYMANTHOU MUNICIPALITY,2016,0,ΔΗΜΟΣ ΕΡΥΜΑΝΘΟΥ
MUNICIPALITY OF KALAVRYTON,2016,1,ΔΗΜΟΣ ΚΑΛΑΒΡΥΤΩΝ
MUNICIPALITY OF HOLY CITY OF MESSOLONGIOU,2016,8,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓ
MUNICIPALITY OF AKTIOU - VONICSA,2016,1,ΔΗΜΟΣ ΆΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ
MUNICIPALITY OF AGRINI,2016,5,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ
AMFILOHIA MUNICIPALITY,2016,2,ΔΗΜΟΣ ΑΜΦΙΛΟΧΙΑΣ
THERMOU MUNICIPALITY,2016,1,ΔΗΜΟΣ ΘΕΡΜΟΥ
MUNICIPALITY OF NAFPAKTIAS,2016,2,ΔΗΜΟΣ ΝΑΥΠΑΚΤΙΑΣ
DIMOROS MUNICIPALITY,2016,1,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ
MUNICIPALITY OF PYRGOS,2016,7,ΔΗΜΟΣ ΠΥΡΓΟΥ
MUNICIPALITY OF ILIDAS,2016,2,ΔΗΜΟΣ ΉΛΙΔΑΣ
MUNICIPALITY OF ANDRAVIDAS - KILLINIS,2016,6,ΔΗΜΟΣ ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ
MUNICIPALITY OF ANDRITSAINAS - KRESTENON,2016,1,ΔΗΜΟΣ ΑΝΔΡΙΤΣΑΙΝΑΣ - ΚΡΕΣΤΕ
MUNICIPALITY OF ANCIENT OLYMPIA,2016,0,ΔΗΜΟΣ ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ
MUNICIPALITY OF ZACHAROS,2016,1,ΔΗΜΟΣ ΖΑΧΑΡΩΣ
PINEIO MUNICIPALITY,2016,1,ΔΗΜΟΣ ΠΗΝΕΙΟΥ
MUNICIPALITY OF TRIPOLI,2016,1,ΔΗΜΟΣ ΤΡΙΠΟΛΗΣ
MUNICIPALITY OF NORTH KYNOURIA,2016,2,ΔΗΜΟΣ ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ
MUNICIPALITY OF GORTYNIA,2016,1,ΔΗΜΟΣ ΓΟΡΤΥΝΙΑΣ
MUNICIPALITY OF MEGALOPOLIS,2016,0,ΔΗΜΟΣ ΜΕΓΑΛΟΠΟΛΗΣ
MUNICIPALITY OF SOUTH KYNOURIA,2016,1,ΔΗΜΟΣ ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ
MUNICIPALITY OF NAFPLIEN,2016,4,ΔΗΜΟΣ ΝΑΥΠΛΙΕΩΝ
MUNICIPALITY OF ARGOS - MYCINA,2016,5,ΔΗΜΟΣ ΆΡΓΟΥΣ - ΜΥΚΗΝΩΝ
MUNICIPALITY OF EPIDAVUR,2016,1,ΔΗΜΟΣ ΕΠΙΔΑΥΡΟΥ
MUNICIPALITY OF HERMIONIDA,2016,3,ΔΗΜΟΣ ΕΡΜΙΟΝΙΔΑΣ
MUNICIPALITY OF CORINTHION,2016,10,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ
MUNICIPALITY OF VELOS - VOCHAS,2016,2,ΔΗΜΟΣ ΒΕΛΟΥ - ΒΟΧΑΣ
MUNICIPALITY OF LOUTRAKI - AGION THEODORI,2016,2,ΔΗΜΟΣ ΛΟΥΤΡΑΚΙΟΥ - ΑΓΙΩΝ ΘΕ
MUNICIPALITY OF NEMEA,2016,0,ΔΗΜΟΣ ΝΕΜΕΑΣ
MUNICIPALITY OF XYLOKASTRO - EUROSTINIS,2016,6,ΔΗΜΟΣ ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙ
SIKYONIA MUNICIPALITY,2016,4,ΔΗΜΟΣ ΣΙΚΥΩΝΙΩΝ
MUNICIPALITY OF SPARTIS,2016,3,ΔΗΜΟΣ ΣΠΑΡΤΗΣ
MUNICIPALITY OF EAST MANI,2016,0,ΔΗΜΟΣ ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ
EUROTA MUNICIPALITY,2016,2,ΔΗΜΟΣ ΕΥΡΩΤΑ
MUNICIPALITY OF MONEMVASIA,2016,0,ΔΗΜΟΣ ΜΟΝΕΜΒΑΣΙΑΣ
MUNICIPALITY OF KALAMATA,2016,9,ΔΗΜΟΣ ΚΑΛΑΜΑΤΑΣ
MUNICIPALITY OF WEST MANI,2016,1,ΔΗΜΟΣ ΔΥΤΙΚΗΣ ΜΑΝΗΣ
MESSINA MUNICIPALITY,2016,5,ΔΗΜΟΣ ΜΕΣΣΗΝΗΣ
MUNICIPALITY OF EICHALIA,2016,2,ΔΗΜΟΣ ΟΙΧΑΛΙΑΣ
MUNICIPALITY OF PYLOS - NESTOROS,2016,4,ΔΗΜΟΣ ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ
MUNICIPALITY OF TRIFILIA,2016,4,ΔΗΜΟΣ ΤΡΙΦΥΛΙΑΣ
